,time,obs_id,doy,mig_year,sic,day_index
101,1988-11-14,1,319,1988,0.959999978542328,0
102,1988-11-15,1,319,1988,0.9900000095367432,1
103,1988-11-16,1,319,1988,0.9700000286102296,2
104,1988-11-17,1,319,1988,0.959999978542328,3
105,1988-11-18,1,319,1988,0.9800000190734864,4
106,1988-11-19,1,319,1988,1.0,5
107,1988-11-20,1,319,1988,1.0,6
108,1988-11-21,1,319,1988,0.9900000095367432,7
109,1988-11-22,1,319,1988,0.959999978542328,8
110,1988-11-23,1,319,1988,0.9800000190734864,9
111,1988-11-24,1,319,1988,0.9700000286102296,10
112,1988-11-25,1,319,1988,0.9800000190734864,11
113,1988-11-26,1,319,1988,0.9399999976158142,12
114,1988-11-27,1,319,1988,0.959999978542328,13
115,1988-11-28,1,319,1988,0.949999988079071,14
116,1988-11-29,1,319,1988,0.959999978542328,15
117,1988-11-30,1,319,1988,0.949999988079071,16
118,1988-12-01,1,319,1988,0.9399999976158142,17
119,1988-12-02,1,319,1988,0.9700000286102296,18
120,1988-12-03,1,319,1988,1.0,19
121,1988-12-04,1,319,1988,0.9800000190734864,20
122,1988-12-05,1,319,1988,0.949999988079071,21
123,1988-12-06,1,319,1988,0.9700000286102296,22
124,1988-12-07,1,319,1988,0.959999978542328,23
125,1988-12-08,1,319,1988,0.9200000166893004,24
126,1988-12-09,1,319,1988,0.9399999976158142,25
127,1988-12-10,1,319,1988,0.9700000286102296,26
128,1988-12-11,1,319,1988,1.0,27
129,1988-12-12,1,319,1988,0.9800000190734864,28
130,1988-12-13,1,319,1988,0.9700000286102296,29
131,1988-12-14,1,319,1988,0.9800000190734864,30
132,1988-12-15,1,319,1988,0.9800000190734864,31
133,1988-12-16,1,319,1988,0.9800000190734864,32
134,1988-12-17,1,319,1988,0.9900000095367432,33
135,1988-12-18,1,319,1988,0.9700000286102296,34
136,1988-12-19,1,319,1988,0.959999978542328,35
137,1988-12-20,1,319,1988,0.9800000190734864,36
138,1988-12-21,1,319,1988,0.959999978542328,37
139,1988-12-22,1,319,1988,0.959999978542328,38
140,1988-12-23,1,319,1988,0.959999978542328,39
141,1988-12-24,1,319,1988,0.9800000190734864,40
142,1988-12-29,1,319,1988,0.949999988079071,45
143,1996-09-12,2,301,1996,0.354285717010498,-45
144,1996-09-13,2,301,1996,0.331428587436676,-44
145,1996-09-14,2,301,1996,0.3257142901420593,-43
146,1996-09-15,2,301,1996,0.3571428656578064,-42
147,1996-09-16,2,301,1996,0.3557142913341522,-41
148,1996-09-17,2,301,1996,0.3700000047683716,-40
149,1996-09-18,2,301,1996,0.3942857086658478,-39
150,1996-09-19,2,301,1996,0.3957142829895019,-38
151,1996-09-20,2,301,1996,0.3871428370475769,-37
152,1996-09-21,2,301,1996,0.3828571438789367,-36
153,1996-09-22,2,301,1996,0.3671428561210632,-35
154,1996-09-23,2,301,1996,0.427142858505249,-34
155,1996-09-24,2,301,1996,0.4014285802841186,-33
156,1996-09-25,2,301,1996,0.3514285683631897,-32
157,1996-09-26,2,301,1996,0.342857152223587,-31
158,1996-09-27,2,301,1996,0.3914285600185394,-30
159,1996-09-28,2,301,1996,0.4085714221000671,-29
160,1996-09-29,2,301,1996,0.4557142853736877,-28
161,1996-09-30,2,301,1996,0.4485714137554168,-27
162,1996-10-01,2,301,1996,0.4599999785423279,-26
163,1996-10-02,2,301,1996,0.4871428608894348,-25
164,1996-10-03,2,301,1996,0.5114285945892334,-24
165,1996-10-04,2,301,1996,0.5,-23
166,1996-10-05,2,301,1996,0.5028571486473083,-22
167,1996-10-06,2,301,1996,0.4871428608894348,-21
168,1996-10-07,2,301,1996,0.4914285540580749,-20
169,1996-10-08,2,301,1996,0.4857142865657806,-19
170,1996-10-09,2,301,1996,0.5557143092155457,-18
171,1996-10-10,2,301,1996,0.6028571128845215,-17
172,1996-10-11,2,301,1996,0.6614285707473755,-16
173,1996-10-12,2,301,1996,0.6528571248054504,-15
174,1996-10-13,2,301,1996,0.6885714530944824,-14
175,1996-10-14,2,301,1996,0.6257143020629883,-13
176,1996-10-15,2,301,1996,0.6371428370475769,-12
177,1996-10-16,2,301,1996,0.6285714507102966,-11
178,1996-10-17,2,301,1996,0.6428571343421936,-10
179,1996-10-18,2,301,1996,0.6399999856948853,-9
180,1996-10-19,2,301,1996,0.6600000262260437,-8
181,1996-10-20,2,301,1996,0.6414285898208618,-7
182,1996-10-21,2,301,1996,0.7100000381469727,-6
183,1996-10-22,2,301,1996,0.735714316368103,-5
184,1996-10-23,2,301,1996,0.7785714268684387,-4
185,1996-10-24,2,301,1996,0.9071428775787354,-3
186,1996-10-25,2,301,1996,0.9028571248054504,-2
187,1996-10-26,2,301,1996,0.9342857003211976,-1
188,1996-10-27,2,301,1996,0.9057142734527588,0
189,1996-10-28,2,301,1996,0.937142848968506,1
190,1996-10-29,2,301,1996,0.9700000286102296,2
191,1996-10-30,2,301,1996,0.918571412563324,3
192,1996-10-31,2,301,1996,0.9171428680419922,4
193,1996-11-01,2,301,1996,0.9414286017417908,5
194,1996-11-02,2,301,1996,0.9757142663002014,6
195,1996-11-03,2,301,1996,0.9399999976158142,7
196,1996-11-04,2,301,1996,0.8628571033477783,8
197,1996-11-05,2,301,1996,0.8728571534156799,9
198,1996-11-06,2,301,1996,0.918571412563324,10
199,1996-11-07,2,301,1996,0.9614285826683044,11
200,1996-11-08,2,301,1996,0.9657142758369446,12
201,1996-11-09,2,301,1996,0.9357142448425292,13
202,1996-11-10,2,301,1996,0.9742857217788696,14
203,1996-11-11,2,301,1996,0.9757142663002014,15
204,1996-11-12,2,301,1996,0.9557142853736876,16
205,1996-11-13,2,301,1996,0.941428542137146,17
206,1996-11-14,2,301,1996,0.9485714435577391,18
207,1996-11-15,2,301,1996,0.959999978542328,19
208,1996-11-16,2,301,1996,0.9571428894996644,20
209,1996-11-17,2,301,1996,0.9685714244842528,21
210,1996-11-18,2,301,1996,0.981428563594818,22
211,1996-11-19,2,301,1996,0.9714285731315612,23
212,1996-11-20,2,301,1996,0.9685714244842528,24
213,1996-11-21,2,301,1996,0.9742857217788696,25
214,1996-11-22,2,301,1996,0.9700000286102296,26
215,1996-11-23,2,301,1996,0.9871428608894348,27
216,1996-11-24,2,301,1996,0.985714316368103,28
217,1996-11-25,2,301,1996,0.9928571581840516,29
218,1996-11-26,2,301,1996,0.991428554058075,30
219,1996-11-27,2,301,1996,0.99571430683136,31
220,1996-11-28,2,301,1996,0.9942857027053832,32
221,1996-11-29,2,301,1996,0.99571430683136,33
222,1996-11-30,2,301,1996,0.9842857122421264,34
223,1996-12-01,2,301,1996,0.9700000286102296,35
224,1996-12-02,2,301,1996,0.99571430683136,36
225,1996-12-03,2,301,1996,0.99571430683136,37
226,1996-12-04,2,301,1996,0.9928571581840516,38
227,1996-12-05,2,301,1996,0.9757143259048462,39
228,1996-12-06,2,301,1996,0.9928571581840516,40
229,1996-12-07,2,301,1996,0.9757143259048462,41
230,1996-12-08,2,301,1996,0.9757143259048462,42
231,1996-12-09,2,301,1996,0.9442856907844543,43
232,1996-12-10,2,301,1996,0.9714285731315612,44
233,1996-12-11,2,301,1996,0.9842857122421264,45
234,1996-09-14,3,303,1996,0.3300000131130218,-45
235,1996-09-15,3,303,1996,0.3600000143051147,-44
236,1996-09-16,3,303,1996,0.3499999940395355,-43
237,1996-09-17,3,303,1996,0.3899999856948852,-42
238,1996-09-18,3,303,1996,0.4099999964237213,-41
239,1996-09-19,3,303,1996,0.4099999964237213,-40
240,1996-09-20,3,303,1996,0.3899999856948852,-39
241,1996-09-21,3,303,1996,0.3799999952316284,-38
